Date,FXY
2007-11-08,89.0875015258789
2007-11-09,90.18500137329102
2007-11-12,91.1200008392334
2007-11-13,90.35499954223633
2007-11-14,89.54500007629395
2007-11-15,90.32499885559082
2007-11-16,90.16750144958496
2007-11-19,90.76000022888184
2007-11-20,90.91749954223633
2007-11-21,92.03499984741211
2007-11-23,92.51000022888184
2007-11-26,92.67499923706055
2007-11-27,92.2249984741211
2007-11-28,90.8125
2007-11-29,90.9474983215332
2007-11-30,90.02249908447266
2007-12-03,90.52499961853027
2007-12-04,91.05749893188477
2007-12-05,90.25749778747559
2007-12-06,89.91999816894531
2007-12-07,89.44500160217285
2007-12-10,89.4950008392334
2007-12-11,89.87250137329102
2007-12-12,89.0625
2007-12-13,88.93999862670898
2007-12-14,88.22999954223633
2007-12-17,88.21750068664551
