Date,NDAQ
2005-09-26,6.715654691732922
2005-09-27,6.644721656109679
2005-09-28,6.662289256944138
2005-09-29,6.781859120270776
2005-09-30,6.843335569670756
2005-10-03,6.998035049239075
2005-10-04,7.0831545605908595
2005-10-05,7.226373109267745
2005-10-06,7.150037524354515
2005-10-07,7.3459448907677505
2005-10-10,7.762760261814744
2005-10-11,8.20997429246043
2005-10-12,7.769514112554045
2005-10-13,7.320272263556371
2005-10-14,7.481731546779474
2005-10-17,7.447953806362295
2005-10-18,7.646566417863514
2005-10-19,7.6499429294670005
2005-10-20,7.842475373432152
2005-10-21,7.87827932597801
2005-10-24,8.075543217870372
2005-10-25,8.21470562848835
2005-10-26,8.170795559445857
2005-10-27,8.264693612211026
2005-10-28,8.184979479450128
2005-10-31,8.239023410390548
