Date,VXX
2018-10-09,1871.3599853515625
2018-10-10,2044.6400146484375
2018-10-11,2265.6000366210938
2018-10-12,2216.1599731445312
2018-10-15,2216.8319702148438
2018-10-16,2099.0399780273438
2018-10-17,2087.2000122070312
2018-10-18,2186.719970703125
2018-10-19,2200.9600219726562
2018-10-22,2218.5599975585938
2018-10-23,2356.6400146484375
2018-10-24,2375.52001953125
2018-10-25,2440.6400146484375
2018-10-26,2573.280029296875
2018-10-29,2544.1599731445312
2018-10-30,2541.6000366210938
2018-10-31,2419.3600463867188
2018-11-01,2380.9600219726562
2018-11-02,2334.7200317382812
2018-11-05,2336.1599731445312
2018-11-06,2284.800048828125
2018-11-07,2125.4400024414062
2018-11-08,2070.1119995117188
2018-11-09,2128.0160522460938
2018-11-12,2233.5999755859375
