Date,UUP
2007-11-23,19.914848061490623
2007-11-26,19.995700240334777
2007-11-27,19.88080729639135
2007-11-28,20.13825147280631
2007-11-29,20.348891100289713
2007-11-30,20.729741112122937
2007-12-03,20.41271967958842
2007-12-04,20.08505971381099
2007-12-05,20.210593270272177
2007-12-06,20.49569887184692
2007-12-07,20.472292122549227
2007-12-10,20.131870166047694
2007-12-11,20.14038048015759
2007-12-12,20.353145154441894
2007-12-13,20.29995361644739
2007-12-14,20.653144037309648
2007-12-17,20.79543590630918
2007-12-18,20.570166809841496
2007-12-19,20.604491778296026
2007-12-20,20.638819150048718
2007-12-21,20.677438282445316
2007-12-24,20.604492629858616
2007-12-26,20.529405731878587
2007-12-27,20.39638908390132
2007-12-28,20.089595073580455
2007-12-31,20.2741003619951
2008-01-02,20.29555526117745
2008-01-03,20.171120225516773
2008-01-04,19.978035805946735
2008-01-07,20.22046623733471
2008-01-08,20.17112123193552
2008-01-09,20.25693828884699
2008-01-10,20.27195734887332
2008-01-11,20.14966663024721
2008-01-14,20.09817860752321
2008-01-15,19.988761379807215
2008-01-16,20.23762801058195
2008-01-17,20.325592342267335
2008-01-18,20.344898024271146
2008-01-22,20.36635143077956
2008-01-23,20.445732790506444
2008-01-24,20.190431585380598
2008-01-25,20.23548450026349
2008-01-28,20.1496669430731
2008-01-29,20.012362065255232
2008-01-30,20.117485385548235
2008-01-31,20.04239878998533
2008-02-01,20.19257504550792
2008-02-04,20.07243309144229
2008-02-05,20.29340953474719
2008-02-06,20.34704472214018
2008-02-07,20.56587553953923
2008-02-08,20.525113383504614
2008-02-11,20.51653174656666
2008-02-12,20.353479101641106
2008-02-13,20.428569326217065
2008-02-14,20.422132411146155
2008-02-15,20.31700749937419
2008-02-19,20.334174079792025
2008-02-20,20.39638851845993
2008-02-21,20.289118544181612
2008-02-22,20.053122917713786
2008-02-25,20.08959397252456
2008-02-26,19.9673055443175
2008-02-27,19.840729769751185
2008-02-28,19.71414993240712
2008-02-29,19.69054624863476
2008-03-03,19.67338591887024
2008-03-04,19.664805962652146
2008-03-05,19.643350124459158
2008-03-06,19.531789048386837
2008-03-07,19.36444872578094
2008-03-10,19.566115944486114
2008-03-11,19.58328052532195
2008-03-12,19.712002041400563
2008-03-13,19.21426995918248
2008-03-14,19.353720340521974
2008-03-17,19.040491139265225
2008-03-18,19.27005064688776
2008-03-19,19.353719400579735
2008-03-20,19.60044266593956
2008-03-24,19.746330457131386
2008-03-25,19.585425280496832
2008-03-26,19.16492398803787
2008-03-27,19.186379301332735
2008-03-28,19.263612768401465
