Date,GOOGL
2005-09-27,7.8496083491204205
2005-09-28,7.726573692141511
2005-09-29,7.677881774591153
2005-09-30,7.848300691348464
2005-10-03,7.877814746469113
2005-10-04,7.8638666648793745
2005-10-05,7.760071992988498
2005-10-06,7.792200344927604
2005-10-07,7.814180418559346
2005-10-10,7.770220878635839
2005-10-11,7.68485567472994
2005-10-12,7.548744248923762
2005-10-13,7.422720389581766
2005-10-14,7.402110899974501
2005-10-17,7.4858574818097505
2005-10-18,7.589715201882898
2005-10-19,7.636974468541425
2005-10-20,7.630747207671551
2005-10-21,8.499965558677548
2005-10-24,8.614407701525058
2005-10-25,8.610920805592412
2005-10-26,8.741427835709974
2005-10-27,8.831837445200819
2005-10-28,8.887751338564248
2005-10-31,9.132015683261262
2005-11-01,9.365572053821
2005-11-02,9.48636578157887
