Date,QQQ
2005-09-28,33.19371831717633
2005-09-29,33.309399385405904
2005-09-30,33.68429508300438
2005-10-03,33.924200317686335
2005-10-04,33.866386281082356
2005-10-05,33.448639244130916
2005-10-06,32.9388018434453
2005-10-07,32.88096419521008
2005-10-10,32.758852740335314
2005-10-11,32.608885239225195
2005-10-12,32.28325296208012
2005-10-13,32.238294308856986
2005-10-14,32.48677874674642
2005-10-17,32.61746822513456
2005-10-18,32.59177605207444
2005-10-19,32.7052979509732
2005-10-20,32.98378446202876
2005-10-21,33.05449614263805
2005-10-24,33.320115377871346
2005-10-25,33.431512379054354
2005-10-26,33.380087878579516
2005-10-27,32.91308490752388
2005-10-28,32.731010221205054
2005-10-31,33.15943042717483
2005-11-01,33.277258374672755
2005-11-02,33.47222325973266
