Date,GLD
2010-12-01,135.54750442504883
2010-12-02,135.63999557495117
2010-12-03,137.31999969482422
2010-12-06,138.61000061035156
2010-12-07,137.9900016784668
2010-12-08,135.21749877929688
2010-12-09,135.5250015258789
2010-12-10,134.94499969482422
2010-12-13,136.20249938964844
2010-12-14,136.38000106811523
2010-12-15,135.16249465942383
2010-12-16,133.7775001525879
2010-12-17,134.00500106811523
2010-12-20,135.00250244140625
2010-12-21,135.26499938964844
2010-12-22,135.3300018310547
2010-12-23,134.43749618530273
2010-12-27,134.88250350952148
2010-12-28,137.00749969482422
2010-12-29,137.58250427246094
2010-12-30,137.31500244140625
2010-12-31,138.24750137329102
2011-01-03,138.38750076293945
2011-01-04,135.35750198364258
2011-01-05,133.9124984741211
2011-01-06,133.85000228881836
2011-01-07,133.6875
2011-01-10,133.85250091552734
2011-01-11,134.7050018310547
2011-01-12,135.04500198364258
2011-01-13,134.75500106811523
2011-01-14,132.92000198364258
2011-01-18,133.55749893188477
2011-01-19,133.96499633789062
2011-01-20,131.52499771118164
2011-01-21,130.93749618530273
2011-01-24,130.7849998474121
2011-01-25,129.77250289916992
2011-01-26,130.36000061035156
2011-01-27,129.12750053405762
2011-01-28,129.4199981689453
2011-01-31,129.7249984741211
2011-02-01,130.43250274658203
2011-02-02,130.21749877929688
2011-02-03,130.96750259399414
2011-02-04,131.8574981689453
2011-02-07,131.63249588012695
2011-02-08,133.10000228881836
2011-02-09,133.03500366210938
2011-02-10,132.56750106811523
2011-02-11,132.7150001525879
2011-02-14,132.99499893188477
2011-02-15,133.90750122070312
2011-02-16,134.1599998474121
2011-02-17,134.85250091552734
2011-02-18,135.31500244140625
2011-02-22,136.65499877929688
2011-02-23,137.39999771118164
2011-02-24,137.09749603271484
2011-02-25,137.27750396728516
2011-02-28,137.61999893188477
2011-03-01,139.28000259399414
2011-03-02,140.04750061035156
2011-03-03,138.4000015258789
2011-03-04,139.08500289916992
2011-03-07,139.9749984741211
2011-03-08,139.375
2011-03-09,139.55500030517578
2011-03-10,137.90500259399414
2011-03-11,137.9049949645996
2011-03-14,139.0875015258789
2011-03-15,135.94750213623047
2011-03-16,136.44000244140625
2011-03-17,136.7150001525879
2011-03-18,138.27499771118164
2011-03-21,139.38000106811523
2011-03-22,138.9900016784668
2011-03-23,140.01250076293945
2011-03-24,139.9000015258789
2011-03-25,139.54000091552734
2011-03-28,138.24250030517578
2011-03-29,138.29500579833984
2011-03-30,138.64999771118164
2011-03-31,140.02999877929688
2011-04-01,138.77999877929688
2011-04-04,139.9199981689453
2011-04-05,140.81000137329102
2011-04-06,142.29249954223633
2011-04-07,142.3574981689453
2011-04-08,143.45249938964844
2011-04-11,142.92250061035156
2011-04-12,141.9800033569336
2011-04-13,142.0749969482422
2011-04-14,143.05500030517578
2011-04-15,144.39750289916992
2011-04-18,145.46000289916992
2011-04-19,145.7699966430664
2011-04-20,146.36249923706055
2011-04-21,146.67250442504883
2011-04-25,147.11000061035156
2011-04-26,146.23749923706055
2011-04-27,148.0775032043457
2011-04-28,149.43000411987305
2011-04-29,151.2624969482422
2011-05-02,151.46000289916992
2011-05-03,150.03250122070312
2011-05-04,148.6724967956543
2011-05-05,145.1050033569336
2011-05-06,145.25749969482422
2011-05-09,146.99250030517578
2011-05-10,147.55249786376953
2011-05-11,146.72500228881836
2011-05-12,146.13750076293945
2011-05-13,146.03000259399414
2011-05-16,145.7775001525879
2011-05-17,144.29249954223633
2011-05-18,145.62750244140625
2011-05-19,145.36999893188477
2011-05-20,146.49750137329102
2011-05-23,147.4474983215332
2011-05-24,148.5749969482422
2011-05-25,148.79750061035156
2011-05-26,148.21749877929688
2011-05-27,149.4000015258789
2011-05-31,149.77250289916992
2011-06-01,150.03250122070312
2011-06-02,149.5250015258789
2011-06-03,150.19499969482422
2011-06-06,150.7400016784668
2011-06-07,150.40499877929688
2011-06-08,149.87750244140625
2011-06-09,150.33499908447266
2011-06-10,149.1875
2011-06-13,148.16500091552734
2011-06-14,148.1449966430664
2011-06-15,148.6875
2011-06-16,148.87750244140625
2011-06-17,149.4824981689453
2011-06-20,150.11999893188477
2011-06-21,150.51749420166016
2011-06-22,151.10499954223633
2011-06-23,148.27749633789062
2011-06-24,147.0275001525879
2011-06-27,145.81499481201172
2011-06-28,146.21000289916992
2011-06-29,146.95249938964844
2011-06-30,146.64249801635742
2011-07-01,144.68249893188477
2011-07-05,147.31500625610352
2011-07-06,148.90750122070312
2011-07-07,148.93999862670898
2011-07-08,150.2650032043457
2011-07-11,151.20249938964844
2011-07-12,152.02500534057617
2011-07-13,154.04750061035156
2011-07-14,154.6349983215332
2011-07-15,154.7624969482422
2011-07-18,156.14500045776367
2011-07-19,155.35000610351562
2011-07-20,155.09250259399414
2011-07-21,155.2775001525879
2011-07-22,156.08999633789062
