Date,SVXY
2012-07-02,23.348750114440918
2012-07-03,24.27062463760376
2012-07-05,23.759374618530273
2012-07-06,23.210000038146973
2012-07-09,23.77375030517578
2012-07-10,23.67812490463257
2012-07-11,23.519375324249268
2012-07-12,23.492499828338623
2012-07-13,24.54937505722046
2012-07-16,25.201250076293945
2012-07-17,25.87374973297119
2012-07-18,26.119999885559082
2012-07-19,26.20187520980835
2012-07-20,25.460625171661377
2012-07-23,23.18062448501587
2012-07-24,22.806875228881836
2012-07-25,22.541874885559082
2012-07-26,24.195624828338623
2012-07-27,25.226250171661377
2012-07-30,24.97624969482422
2012-07-31,24.038125038146973
2012-08-01,24.251874923706055
2012-08-02,24.24375009536743
2012-08-03,26.18499994277954
2012-08-06,27.13124990463257
2012-08-07,27.052499771118164
2012-08-08,26.95562505722046
