Date,SPY
2005-09-28,84.31724096480515
2005-09-29,84.53024526073344
2005-09-30,84.92675873124907
2005-10-03,85.08435128079216
2005-10-04,84.5388952467273
2005-10-05,83.4236940801321
2005-10-06,82.67045873137967
2005-10-07,82.85745808907708
2005-10-10,82.47649007107472
2005-10-11,82.27564776733215
2005-10-12,81.80804994275503
2005-10-13,81.36133231838016
2005-10-14,81.93448351076749
2005-10-17,82.3622306686206
2005-10-18,81.9968447671564
2005-10-19,82.11459280606203
2005-10-20,82.12669641210624
2005-10-21,81.85660295502862
2005-10-24,82.58212969529178
2005-10-25,82.87994179293618
2005-10-26,82.87823913532202
2005-10-27,82.18386488399314
2005-10-28,82.47475002275345
2005-10-31,83.43929474489799
2005-11-01,83.49816560194537
2005-11-02,83.77697334369981
