Date,VGLT
2010-09-29,43.81949361487247
2010-09-30,43.64078765922422
2010-10-01,43.52882121179543
2010-10-04,43.58810693690452
2010-10-05,43.624296479552726
2010-10-06,43.87788893997561
2010-10-07,43.805470418272236
2010-10-08,43.751103860264045
2010-10-11,43.74780454737777
2010-10-12,43.530444281814844
2010-10-13,43.079262481000185
2010-10-14,43.094094685215495
2010-10-15,42.38435211104647
2010-10-18,42.634676161552235
2010-10-19,42.72850280300365
2010-10-20,42.830608734213044
2010-10-21,42.64945708912373
2010-10-22,42.48973149081756
2010-10-25,42.89317125239166
2010-10-26,42.39586479931501
2010-10-27,42.05666447640684
2010-10-28,42.05995351496259
2010-10-29,42.26589644194813
2010-11-01,42.39972026180487
2010-11-02,42.62761715180468
2010-11-03,42.52687159182347
2010-11-04,42.33528928874961
